max_phase,molecule_chembl_id,pref_name
,CHEMBL37470,
,CHEMBL37088,
,CHEMBL37468,
,CHEMBL288466,
,CHEMBL37256,
,CHEMBL39480,
,CHEMBL40113,
,CHEMBL35714,
,CHEMBL38047,
,CHEMBL38264,
,CHEMBL36966,
,CHEMBL35828,
,CHEMBL40278,
,CHEMBL36491,
,CHEMBL37138,
,CHEMBL39713,
,CHEMBL40897,
,CHEMBL39638,
,CHEMBL38023,
,CHEMBL38565,
,CHEMBL39202,
,CHEMBL39233,
,CHEMBL39001,
,CHEMBL38952,
,CHEMBL39809,
,CHEMBL290612,
,CHEMBL38392,
,CHEMBL418239,
,CHEMBL38708,
,CHEMBL38896,
,CHEMBL38897,
,CHEMBL36928,
,CHEMBL39053,
,CHEMBL38585,
,CHEMBL39163,
,CHEMBL38862,
,CHEMBL288148,
,CHEMBL39583,
,CHEMBL39584,
,CHEMBL434593,
,CHEMBL40016,
,CHEMBL432859,
,CHEMBL289896,
,CHEMBL36675,
,CHEMBL412429,
,CHEMBL440606,
,CHEMBL38809,
,CHEMBL38460,
,CHEMBL38983,
,CHEMBL37149,
,CHEMBL40115,
,CHEMBL289924,
,CHEMBL68905,
,CHEMBL71773,
,CHEMBL67808,
,CHEMBL305218,
,CHEMBL302087,
,CHEMBL303263,
,CHEMBL69256,
,CHEMBL71155,
,CHEMBL304283,
,CHEMBL304079,
,CHEMBL72045,
,CHEMBL72061,
,CHEMBL101664,
2.0,CHEMBL340211,AZAPERONE
,CHEMBL420344,
,CHEMBL129159,
,CHEMBL129237,
,CHEMBL129521,
,CHEMBL339963,
,CHEMBL339033,
,CHEMBL126738,
,CHEMBL126086,
,CHEMBL340401,
,CHEMBL130356,
,CHEMBL130357,
,CHEMBL338181,
,CHEMBL129452,
,CHEMBL127067,
,CHEMBL130526,
,CHEMBL126684,
,CHEMBL125913,
,CHEMBL126437,
,CHEMBL1189053,
,CHEMBL1189655,
,CHEMBL1189662,
,CHEMBL1190617,
,CHEMBL1191085,
,CHEMBL1191304,
,CHEMBL1192555,
,CHEMBL1192752,
,CHEMBL1193154,
,CHEMBL1195461,
,CHEMBL1195916,
,CHEMBL1196305,
,CHEMBL276500,
,CHEMBL19082,
,CHEMBL19541,
,CHEMBL19841,
,CHEMBL281619,
,CHEMBL20807,
,CHEMBL20768,
,CHEMBL25858,
,CHEMBL291132,
,CHEMBL38323,
,CHEMBL38294,
,CHEMBL289702,
,CHEMBL39203,
,CHEMBL287894,
,CHEMBL37410,
,CHEMBL38547,
,CHEMBL38665,
,CHEMBL290543,
,CHEMBL37150,
,CHEMBL53253,
,CHEMBL296601,
,CHEMBL298758,
,CHEMBL293952,
,CHEMBL53170,
,CHEMBL55317,
,CHEMBL55318,
,CHEMBL58033,(-)-U-50488
,CHEMBL60547,
,CHEMBL302021,
,CHEMBL312600,
,CHEMBL78306,
,CHEMBL280243,
,CHEMBL78411,
,CHEMBL309603,
,CHEMBL77675,
,CHEMBL310170,
,CHEMBL78083,
,CHEMBL81594,
,CHEMBL310729,
,CHEMBL81678,
,CHEMBL79509,
,CHEMBL79437,
,CHEMBL81626,
,CHEMBL81070,
,CHEMBL329623,
,CHEMBL88146,
,CHEMBL88660,
,CHEMBL314423,
,CHEMBL441453,
,CHEMBL91791,
,CHEMBL89344,
,CHEMBL90288,
,CHEMBL91713,
,CHEMBL265549,
,CHEMBL91828,
,CHEMBL91222,
,CHEMBL90508,
,CHEMBL421364,
,CHEMBL313649,
,CHEMBL90809,
,CHEMBL314379,
,CHEMBL420245,
,CHEMBL90975,
,CHEMBL92095,
,CHEMBL88161,
,CHEMBL91946,
,CHEMBL91145,
,CHEMBL88639,
,CHEMBL90326,
,CHEMBL430455,
,CHEMBL315051,
,CHEMBL90643,
,CHEMBL431462,
,CHEMBL328986,
,CHEMBL431214,
,CHEMBL314710,
,CHEMBL420979,
,CHEMBL330551,
,CHEMBL412674,
,CHEMBL419161,
,CHEMBL318954,
,CHEMBL102860,
,CHEMBL328608,
,CHEMBL102847,
,CHEMBL103707,
,CHEMBL100463,
,CHEMBL103662,
,CHEMBL103715,
,CHEMBL103455,
,CHEMBL103458,
,CHEMBL106186,
,CHEMBL107084,
,CHEMBL320068,
,CHEMBL340541,
,CHEMBL435211,
,CHEMBL129695,
,CHEMBL1188839,
,CHEMBL1191521,
,CHEMBL1193754,
,CHEMBL1744044,
,CHEMBL19802,
,CHEMBL409984,
,CHEMBL54808,
,CHEMBL55970,
,CHEMBL59713,
,CHEMBL291439,
,CHEMBL64176,
,CHEMBL305366,
,CHEMBL60048,
,CHEMBL64751,
,CHEMBL60139,
,CHEMBL60140,
,CHEMBL64260,
,CHEMBL64261,
,CHEMBL62638,
,CHEMBL61789,
,CHEMBL60133,
,CHEMBL81773,
,CHEMBL310003,
,CHEMBL79186,
,CHEMBL81824,
,CHEMBL81735,
,CHEMBL82078,
,CHEMBL78488,
,CHEMBL78928,
,CHEMBL79165,
,CHEMBL78356,
,CHEMBL82246,
,CHEMBL82247,
,CHEMBL81867,
,CHEMBL79164,
,CHEMBL79145,
,CHEMBL81539,
,CHEMBL81461,
,CHEMBL312806,
,CHEMBL312588,
,CHEMBL78585,
,CHEMBL78637,
,CHEMBL79665,
,CHEMBL81835,
,CHEMBL82144,
,CHEMBL314469,
,CHEMBL89811,
,CHEMBL88465,
,CHEMBL88932,
,CHEMBL141743,
,CHEMBL140030,
,CHEMBL138103,
,CHEMBL139455,
,CHEMBL138457,
,CHEMBL138458,
,CHEMBL141278,
,CHEMBL138856,
,CHEMBL138857,
,CHEMBL138286,
,CHEMBL137979,
,CHEMBL138083,
,CHEMBL138560,
,CHEMBL143360,
,CHEMBL143178,
,CHEMBL422834,
,CHEMBL142596,
,CHEMBL356688,
,CHEMBL143089,
,CHEMBL143249,
,CHEMBL142336,
,CHEMBL142297,
,CHEMBL347514,
,CHEMBL142406,
,CHEMBL422826,
,CHEMBL141501,
,CHEMBL141893,
,CHEMBL141945,
,CHEMBL358109,
,CHEMBL142353,
,CHEMBL142755,
,CHEMBL167932,
,CHEMBL1184470,
,CHEMBL1188589,
,CHEMBL1189481,
,CHEMBL1189757,
,CHEMBL1190158,
,CHEMBL1191951,
,CHEMBL1191952,
,CHEMBL1191954,
,CHEMBL1192167,
,CHEMBL1192372,
,CHEMBL1192373,
,CHEMBL1192378,
,CHEMBL1192582,
,CHEMBL1193578,
,CHEMBL1193582,
,CHEMBL1194667,
,CHEMBL1194915,
,CHEMBL1194916,
,CHEMBL1195081,
,CHEMBL1196158,
,CHEMBL1196454,
,CHEMBL2112938,
,CHEMBL2112939,
2.0,CHEMBL305187,IFENPRODIL
,CHEMBL79436,
,CHEMBL312318,
