action_type,molecule_chembl_id,parent_molecule_chembl_id
INHIBITOR,CHEMBL127516,CHEMBL127516
MODULATOR,CHEMBL110691,CHEMBL110691
,CHEMBL16073,CHEMBL16073
,CHEMBL1909072,CHEMBL1909072
ANTAGONIST,CHEMBL316561,CHEMBL316561
ANTAGONIST,CHEMBL22242,CHEMBL22242
INHIBITOR,CHEMBL62193,CHEMBL62193
BLOCKER,CHEMBL404849,CHEMBL404849
ANTAGONIST,CHEMBL17157,CHEMBL17157
,CHEMBL267744,CHEMBL267744
,CHEMBL24944,CHEMBL24944
INHIBITOR,CHEMBL187709,CHEMBL187709
,CHEMBL462547,CHEMBL462547
INHIBITOR,CHEMBL189171,CHEMBL189171
AGONIST,CHEMBL1601669,CHEMBL1601669
INHIBITOR,CHEMBL277474,CHEMBL277474
INHIBITOR,CHEMBL388590,CHEMBL388590
,CHEMBL278172,CHEMBL278172
,CHEMBL541,CHEMBL541
ANTAGONIST,CHEMBL24441,CHEMBL24441
AGONIST,CHEMBL264374,CHEMBL264374
,CHEMBL253376,CHEMBL253376
,CHEMBL15768,CHEMBL15768
INHIBITOR,CHEMBL508102,CHEMBL508102
,CHEMBL398440,CHEMBL398440
AGONIST,CHEMBL557555,CHEMBL557555
AGONIST,CHEMBL49080,CHEMBL49080
,CHEMBL6466,CHEMBL6466
,CHEMBL1480987,CHEMBL1480987
ANTAGONIST,CHEMBL139835,CHEMBL139835
INHIBITOR,CHEMBL75435,CHEMBL75435
INHIBITOR,CHEMBL93645,CHEMBL93645
BLOCKER,CHEMBL43064,CHEMBL43064
INHIBITOR,CHEMBL127516,CHEMBL127516
AGONIST,CHEMBL24441,CHEMBL24441
ANTAGONIST,CHEMBL43064,CHEMBL43064
ANTAGONIST,CHEMBL139835,CHEMBL139835
AGONIST,CHEMBL139835,CHEMBL139835
INHIBITOR,CHEMBL178,CHEMBL178
,CHEMBL290916,CHEMBL290916
INHIBITOR,CHEMBL498847,CHEMBL498847
INHIBITOR,CHEMBL178,CHEMBL178
INHIBITOR,CHEMBL1200699,CHEMBL1433
ANTAGONIST,CHEMBL1790041,CHEMBL1790041
ANTAGONIST,CHEMBL502182,CHEMBL1208155
INVERSE AGONIST,CHEMBL4164059,CHEMBL462605
,CHEMBL196,CHEMBL196
AGONIST,CHEMBL45,CHEMBL45
INHIBITOR,CHEMBL86304,CHEMBL86304
ANTAGONIST,CHEMBL219916,CHEMBL219916
INHIBITOR,CHEMBL92401,CHEMBL92401
MODULATOR,CHEMBL193482,CHEMBL193482
AGONIST,CHEMBL521589,CHEMBL521589
